Czas[s],X[g],Y[g],Z[g]
0.4715,-1.0000,-1.0000,0.0000
0.4715,-1.0000,-1.0000,0.0000
0.4715,-1.0000,-1.0000,0.0000
0.4715,-1.0000,-1.0000,0.0000
0.4715,-1.0000,-3.0000,1.0000
0.4715,-1.0000,-1.0000,1.0000
0.4715,-1.0000,-1.0000,1.0000
0.4848,-1.0000,-3.0000,0.0000
0.4848,-1.0000,-1.0000,0.0000
0.4848,-1.0000,-1.0000,0.0000
0.4848,-1.0000,-1.0000,1.0000
0.4848,-1.0000,-1.0000,1.0000
0.4870,-1.0000,-1.0000,0.0000
0.4870,-1.0000,-3.0000,0.0000
0.4870,-1.0000,-3.0000,0.0000
0.4870,-1.0000,-3.0000,1.0000
0.4870,-1.0000,-1.0000,0.0000
0.5027,-1.0000,-1.0000,0.0000
0.5037,-1.0000,-3.0000,1.0000
0.5037,-1.0000,-3.0000,0.0000
0.5037,-1.0000,-3.0000,0.0000
0.5037,-1.0000,-1.0000,1.0000
0.5037,-1.0000,-1.0000,0.0000
0.5037,-1.0000,-3.0000,1.0000
0.5037,-3.0000,-3.0000,0.0000
0.5037,-1.0000,-3.0000,1.0000
0.5037,-1.0000,-1.0000,1.0000
0.5139,-1.0000,-1.0000,0.0000
0.5139,-1.0000,-3.0000,0.0000
0.5139,-1.0000,-1.0000,1.0000
0.5149,-1.0000,-3.0000,0.0000
0.5149,-1.0000,-1.0000,1.0000
0.5149,-1.0000,-1.0000,0.0000
0.5149,-1.0000,-1.0000,0.0000
0.5149,-1.0000,-3.0000,1.0000
0.5253,-1.0000,-3.0000,0.0000
0.5253,-1.0000,-1.0000,0.0000
0.5253,-1.0000,-3.0000,1.0000
0.5253,-3.0000,-1.0000,0.0000
0.5318,-1.0000,-1.0000,1.0000
0.5318,-1.0000,-1.0000,0.0000
0.5318,-3.0000,-3.0000,0.0000
0.5318,-3.0000,-1.0000,0.0000
0.5379,-1.0000,-3.0000,0.0000
0.5379,-3.0000,-1.0000,1.0000
0.5389,-3.0000,-3.0000,1.0000
0.5399,-1.0000,-1.0000,1.0000
0.5399,-1.0000,-3.0000,0.0000
0.5489,-1.0000,-1.0000,0.0000
0.5489,-1.0000,-3.0000,0.0000
0.5489,-1.0000,-1.0000,0.0000
0.5499,-1.0000,-3.0000,0.0000
0.5499,-1.0000,-3.0000,0.0000
0.5499,-1.0000,-1.0000,0.0000
0.5499,-1.0000,-1.0000,1.0000
0.5499,-1.0000,-1.0000,0.0000
0.5549,-1.0000,-1.0000,1.0000
0.5549,-1.0000,-1.0000,0.0000
0.5549,-1.0000,-3.0000,0.0000
0.5689,-1.0000,-1.0000,0.0000
0.5699,-1.0000,-1.0000,0.0000
0.5699,-1.0000,-3.0000,0.0000
0.5699,-1.0000,-1.0000,0.0000
0.5699,-1.0000,-1.0000,0.0000
0.5699,-1.0000,-3.0000,0.0000
0.5699,-1.0000,-1.0000,1.0000
0.5811,-1.0000,-1.0000,0.0000
0.5811,-1.0000,-1.0000,0.0000
0.5811,-1.0000,-1.0000,0.0000
0.5811,-3.0000,-1.0000,0.0000
0.5811,-1.0000,-1.0000,0.0000
0.5811,-1.0000,-3.0000,0.0000
0.5811,-3.0000,-1.0000,1.0000
0.5811,-3.0000,-1.0000,0.0000
0.5946,-1.0000,-1.0000,0.0000
0.5956,-1.0000,-1.0000,0.0000
0.5956,-1.0000,-1.0000,1.0000
0.5956,-3.0000,-1.0000,0.0000
0.6070,-1.0000,-3.0000,0.0000
0.6070,-1.0000,-1.0000,0.0000
0.6070,-1.0000,-3.0000,1.0000
0.6070,-1.0000,-1.0000,1.0000
0.6070,-1.0000,-1.0000,1.0000
0.6070,-1.0000,-3.0000,0.0000
0.6070,-1.0000,-1.0000,1.0000
0.6082,-1.0000,-1.0000,0.0000
0.6092,-1.0000,-3.0000,1.0000
0.6219,-1.0000,-1.0000,1.0000
0.6219,-1.0000,-3.0000,1.0000
0.6219,-1.0000,-3.0000,0.0000
0.6219,-1.0000,-1.0000,0.0000
0.6219,-1.0000,-1.0000,0.0000
0.6219,-1.0000,-1.0000,0.0000
0.6219,-1.0000,-1.0000,0.0000
0.6219,-1.0000,-1.0000,0.0000
0.6219,-1.0000,-3.0000,0.0000
0.6219,-1.0000,-1.0000,0.0000
0.6320,-1.0000,-1.0000,0.0000
0.6320,-1.0000,-1.0000,1.0000
0.6320,-1.0000,-1.0000,1.0000
0.6320,-1.0000,-1.0000,1.0000
0.6320,-1.0000,-1.0000,1.0000
0.6363,-1.0000,-1.0000,0.0000
0.6363,-1.0000,-1.0000,0.0000
0.6363,-1.0000,-1.0000,0.0000
0.6404,-1.0000,-1.0000,0.0000
0.6404,-1.0000,-1.0000,1.0000
0.6527,-1.0000,-1.0000,0.0000
0.6572,-1.0000,-1.0000,1.0000
0.6572,-1.0000,-1.0000,0.0000
0.6582,-1.0000,-1.0000,1.0000
0.6582,-1.0000,-3.0000,0.0000
0.6582,-1.0000,-1.0000,0.0000
0.6582,-3.0000,-1.0000,1.0000
0.6632,-1.0000,-1.0000,1.0000
0.6652,-1.0000,-1.0000,0.0000
0.6652,-1.0000,-1.0000,0.0000
0.6652,-1.0000,-1.0000,0.0000
0.6652,-1.0000,-1.0000,1.0000
0.6652,-1.0000,-1.0000,1.0000
0.6708,-1.0000,-1.0000,1.0000
0.6708,-1.0000,-3.0000,0.0000
0.6708,-1.0000,-1.0000,0.0000
0.6785,-1.0000,-1.0000,0.0000
0.6785,-1.0000,-1.0000,1.0000
0.6785,-3.0000,-3.0000,1.0000
0.6785,-1.0000,-3.0000,0.0000
0.6872,-1.0000,-3.0000,0.0000
0.6872,-1.0000,-1.0000,0.0000
0.6872,-1.0000,-3.0000,0.0000
0.6872,-1.0000,-1.0000,0.0000
0.6872,-1.0000,-1.0000,0.0000
0.6882,-1.0000,-3.0000,0.0000
0.6915,-1.0000,-3.0000,0.0000
0.7079,-1.0000,-1.0000,0.0000
0.7079,-1.0000,-1.0000,0.0000
0.7079,-1.0000,-1.0000,0.0000
0.7079,-1.0000,-1.0000,0.0000
0.7079,-1.0000,-1.0000,0.0000
0.7079,-3.0000,-3.0000,1.0000
0.7079,-1.0000,-1.0000,0.0000
0.7079,-1.0000,-3.0000,0.0000
0.7079,-1.0000,-3.0000,0.0000
0.7079,-1.0000,-1.0000,1.0000
0.7180,-1.0000,-1.0000,0.0000
0.7180,-3.0000,-1.0000,1.0000
0.7180,-1.0000,-3.0000,1.0000
0.7180,-1.0000,-3.0000,0.0000
0.7287,-1.0000,-1.0000,1.0000
0.7287,-1.0000,-1.0000,0.0000
0.7296,-1.0000,-1.0000,0.0000
0.7296,-3.0000,-1.0000,0.0000
0.7296,-1.0000,-3.0000,0.0000
0.7316,-1.0000,-1.0000,0.0000
0.7316,-1.0000,-1.0000,0.0000
0.7316,-1.0000,-3.0000,1.0000
0.7316,-1.0000,-3.0000,0.0000
0.7341,-1.0000,-1.0000,0.0000
0.7341,-1.0000,-1.0000,1.0000
0.7437,-1.0000,-1.0000,1.0000
0.7437,-1.0000,-1.0000,1.0000
0.7437,-1.0000,-3.0000,1.0000
0.7437,-1.0000,-1.0000,1.0000
0.7437,-1.0000,-1.0000,0.0000
0.7437,-1.0000,-3.0000,0.0000
0.7553,-1.0000,-1.0000,0.0000
0.7553,-1.0000,-1.0000,0.0000
0.7553,-1.0000,-1.0000,1.0000
0.7553,-1.0000,-1.0000,0.0000
0.7553,-1.0000,-1.0000,1.0000
0.7553,-1.0000,-1.0000,0.0000
0.7553,-1.0000,-3.0000,1.0000
0.7573,-1.0000,-3.0000,1.0000
0.7633,-1.0000,-1.0000,0.0000
0.7633,-1.0000,-1.0000,0.0000
0.7735,-1.0000,-1.0000,1.0000
0.7735,-1.0000,-3.0000,1.0000
0.7735,-3.0000,-1.0000,0.0000
0.7735,-1.0000,-1.0000,1.0000
0.7735,-1.0000,-1.0000,0.0000
0.7735,-1.0000,-1.0000,0.0000
0.7800,-1.0000,-3.0000,0.0000
0.7800,-1.0000,-1.0000,0.0000
0.7800,-1.0000,-1.0000,0.0000
0.7913,-1.0000,-3.0000,0.0000
0.7913,-1.0000,-1.0000,1.0000
0.7913,-3.0000,-1.0000,0.0000
0.7913,-1.0000,-1.0000,1.0000
0.7913,-1.0000,-1.0000,0.0000
0.7913,-1.0000,-1.0000,0.0000
0.7933,-1.0000,-3.0000,0.0000
0.8101,-1.0000,-1.0000,1.0000
0.8101,-1.0000,-1.0000,0.0000
0.8101,-1.0000,-1.0000,1.0000
0.8101,-1.0000,-1.0000,0.0000
0.8101,-1.0000,-1.0000,0.0000
0.8101,-1.0000,-1.0000,0.0000
0.8101,-3.0000,-1.0000,0.0000
0.8101,-1.0000,-1.0000,1.0000
0.8101,-3.0000,-1.0000,1.0000
0.8237,-1.0000,-3.0000,0.0000
0.8237,-1.0000,-3.0000,0.0000
0.8237,-1.0000,-1.0000,1.0000
0.8237,-1.0000,-1.0000,0.0000
0.8237,-1.0000,-3.0000,0.0000
0.8237,-1.0000,-1.0000,0.0000
